# Generated with dmote-topography, version 0.3.0. Arguments:
# --x-mu 10 --x-sigma 35 --y-mu 90 --y-sigma 45 --hardness 0.5 --lift 0.2
  0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  0.00   7.00   8.82   9.93  10.71  11.31  11.79  12.18  12.52  12.81  13.06  13.27  13.46  13.62  13.77  13.89  14.00  14.09  14.16  14.22  14.27  14.31  14.34  14.35  14.36  14.36  14.34  14.32  14.29  14.26  14.22  14.17  14.11  14.05  13.98  13.91  13.84  13.75  13.67  13.58  13.49  13.39  13.29  13.19  13.09  12.98  12.88  12.77  12.66  12.54  12.43  12.32  12.21  12.09  11.98  11.86  11.75  11.64  11.52  11.41  11.30  11.19  11.08  10.97  10.86  10.75  10.64  10.53  10.43  10.32  10.21  10.11  10.01   9.90   9.80   9.69   9.59   9.48   9.37   9.27   9.16   9.05   8.93   8.81   8.69   8.56   8.43   8.29   8.14   7.98   7.80   7.60   7.38   7.13   6.83   6.46   5.99   5.33   4.23   0.00
  0.00   8.96  11.30  12.72  13.72  14.48  15.10  15.61  16.04  16.41  16.73  17.01  17.25  17.46  17.64  17.80  17.93  18.04  18.14  18.22  18.28  18.33  18.36  18.38  18.38  18.38  18.36  18.33  18.29  18.24  18.18  18.12  18.04  17.96  17.87  17.78  17.68  17.57  17.46  17.34  17.22  17.09  16.96  16.83  16.69  16.55  16.41  16.27  16.12  15.97  15.83  15.68  15.53  15.38  15.23  15.08  14.93  14.78  14.64  14.49  14.34  14.20  14.05  13.91  13.76  13.62  13.48  13.34  13.20  13.07  12.93  12.79  12.66  12.52  12.39  12.25  12.12  11.98  11.84  11.70  11.56  11.42  11.27  11.12  10.96  10.80  10.63  10.45  10.26  10.05   9.83   9.58   9.30   8.98   8.60   8.14   7.54   6.71   5.32   0.00
  0.00  10.24  12.92  14.54  15.68  16.56  17.27  17.85  18.34  18.77  19.13  19.45  19.72  19.96  20.17  20.35  20.50  20.63  20.74  20.83  20.89  20.94  20.98  21.00  21.00  20.99  20.97  20.93  20.89  20.83  20.76  20.68  20.59  20.49  20.39  20.27  20.15  20.03  19.89  19.76  19.61  19.46  19.31  19.15  18.99  18.83  18.66  18.50  18.33  18.15  17.98  17.81  17.63  17.46  17.28  17.11  16.94  16.76  16.59  16.42  16.25  16.08  15.91  15.74  15.57  15.41  15.24  15.08  14.92  14.76  14.60  14.44  14.29  14.13  13.97  13.82  13.66  13.51  13.35  13.19  13.03  12.86  12.69  12.52  12.34  12.16  11.96  11.76  11.54  11.31  11.06  10.77  10.46  10.10   9.67   9.15   8.48   7.54   5.98   0.00
  0.00  11.23  14.17  15.95  17.20  18.17  18.94  19.58  20.12  20.59  20.99  21.33  21.64  21.90  22.12  22.32  22.49  22.63  22.74  22.84  22.91  22.97  23.00  23.02  23.02  23.01  22.98  22.94  22.88  22.81  22.73  22.64  22.54  22.43  22.31  22.18  22.05  21.90  21.75  21.60  21.44  21.27  21.10  20.92  20.74  20.55  20.37  20.18  19.99  19.80  19.60  19.41  19.21  19.01  18.82  18.62  18.43  18.23  18.04  17.85  17.65  17.46  17.28  17.09  16.90  16.72  16.54  16.36  16.18  16.00  15.82  15.65  15.47  15.30  15.13  14.95  14.78  14.61  14.43  14.26  14.08  13.90  13.71  13.53  13.33  13.13  12.92  12.69  12.46  12.20  11.93  11.62  11.28  10.89  10.43   9.87   9.14   8.12   6.44   0.00
  0.00  12.07  15.22  17.13  18.48  19.52  20.35  21.04  21.62  22.12  22.55  22.92  23.25  23.53  23.77  23.98  24.16  24.31  24.43  24.53  24.61  24.67  24.70  24.72  24.72  24.70  24.67  24.62  24.55  24.48  24.39  24.29  24.17  24.05  23.92  23.78  23.62  23.47  23.30  23.13  22.95  22.76  22.57  22.38  22.18  21.98  21.77  21.56  21.35  21.14  20.93  20.71  20.50  20.28  20.07  19.85  19.64  19.42  19.21  19.00  18.79  18.58  18.38  18.17  17.97  17.77  17.57  17.37  17.18  16.98  16.79  16.60  16.41  16.22  16.03  15.85  15.66  15.47  15.28  15.10  14.90  14.71  14.51  14.31  14.10  13.88  13.66  13.42  13.17  12.90  12.60  12.28  11.91  11.50  11.01  10.42   9.65   8.58   6.80   0.00
  0.00  12.81  16.16  18.18  19.62  20.72  21.60  22.33  22.95  23.48  23.94  24.33  24.68  24.98  25.23  25.45  25.64  25.80  25.93  26.03  26.11  26.17  26.21  26.22  26.22  26.19  26.15  26.10  26.03  25.94  25.84  25.73  25.61  25.47  25.33  25.17  25.01  24.83  24.65  24.46  24.27  24.07  23.86  23.65  23.43  23.21  22.99  22.76  22.53  22.30  22.07  21.84  21.61  21.37  21.14  20.91  20.67  20.44  20.21  19.99  19.76  19.53  19.31  19.09  18.87  18.65  18.44  18.23  18.02  17.81  17.60  17.40  17.19  16.99  16.79  16.59  16.39  16.19  15.99  15.79  15.58  15.38  15.17  14.95  14.73  14.50  14.26  14.01  13.74  13.46  13.15  12.81  12.43  12.00  11.48  10.86  10.06   8.94   7.09   0.00
  0.00  13.48  17.01  19.14  20.66  21.82  22.75  23.52  24.17  24.73  25.21  25.63  25.99  26.30  26.57  26.80  27.00  27.17  27.30  27.41  27.49  27.55  27.58  27.59  27.59  27.56  27.52  27.45  27.38  27.28  27.17  27.05  26.92  26.77  26.61  26.44  26.26  26.08  25.88  25.67  25.46  25.25  25.02  24.79  24.56  24.32  24.08  23.84  23.59  23.35  23.10  22.85  22.60  22.35  22.09  21.84  21.60  21.35  21.10  20.86  20.61  20.37  20.13  19.90  19.66  19.43  19.20  18.97  18.75  18.53  18.31  18.09  17.87  17.66  17.44  17.23  17.02  16.81  16.59  16.38  16.16  15.95  15.72  15.50  15.26  15.02  14.77  14.51  14.23  13.94  13.61  13.26  12.86  12.41  11.88  11.24  10.41   9.25   7.33   0.00
  0.00  14.12  17.81  20.05  21.63  22.85  23.83  24.64  25.32  25.90  26.41  26.84  27.22  27.55  27.83  28.07  28.28  28.45  28.59  28.70  28.78  28.84  28.87  28.88  28.87  28.84  28.79  28.72  28.64  28.53  28.41  28.28  28.14  27.98  27.81  27.62  27.43  27.23  27.02  26.80  26.57  26.34  26.10  25.85  25.60  25.35  25.09  24.83  24.57  24.30  24.04  23.77  23.50  23.23  22.97  22.70  22.43  22.17  21.91  21.65  21.39  21.13  20.88  20.62  20.37  20.13  19.88  19.64  19.40  19.17  18.93  18.70  18.47  18.25  18.02  17.80  17.57  17.35  17.12  16.90  16.67  16.44  16.21  15.97  15.73  15.48  15.22  14.95  14.66  14.35  14.01  13.65  13.24  12.77  12.23  11.56  10.71   9.51   7.54   0.00
  0.00  14.72  18.58  20.91  22.56  23.83  24.86  25.70  26.41  27.02  27.55  28.00  28.40  28.74  29.03  29.28  29.50  29.67  29.82  29.93  30.01  30.07  30.10  30.11  30.10  30.06  30.00  29.93  29.83  29.72  29.60  29.45  29.30  29.12  28.94  28.75  28.54  28.32  28.10  27.86  27.62  27.37  27.12  26.85  26.59  26.32  26.04  25.77  25.49  25.20  24.92  24.63  24.35  24.06  23.78  23.50  23.21  22.93  22.65  22.38  22.10  21.83  21.56  21.29  21.03  20.77  20.51  20.25  20.00  19.75  19.51  19.26  19.02  18.78  18.54  18.31  18.07  17.84  17.60  17.37  17.13  16.89  16.65  16.40  16.15  15.89  15.62  15.33  15.03  14.71  14.37  13.99  13.57  13.09  12.53  11.84  10.97   9.74   7.72   0.00
